dire straits|brothers in arms|1985
earth wind and fire|that's the way of the world|1975
pink floyd|wish you where here|1975
sting|...nothing like the sun|1987
rush|hemispheres|1978
rush|permanent waves|1980
rush|moving pictures|1981
oscar peterson|soft sands|1957
the police|ghost in the machine|1981
fleetwood mac|rumours|1977
JUDAS PRIEST|KILLING machine|1978
